FLOWER|(配点追加)創作譜面。|10419|1.8|https://ux.getuploader.com/e2339999zp/download/581
不知火2000|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|497|0.7425|https://ux.getuploader.com/e2339999zp/download/560
新・鬼ヶ島|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|125|1.4|https://ux.getuploader.com/e2339999zp/download/432
がんばれゴエモンのテーマ|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|158|0.9455|https://ux.getuploader.com/e2339999zp/download/349
そたま2000|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|881|1.3|https://ux.getuploader.com/e2339999zp/download/347
DEBSTEP!|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|333|1.5|https://ux.getuploader.com/e2339999zp/download/312
またわかやま2000|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|1138|1.7|https://ux.getuploader.com/e2339999zp/download/304
夏竜 ～Karyu～|(OFFSET修正)裏のかんたん～むずかしい以外すべて本家譜...|16748|2.1|https://ux.getuploader.com/e2337650/download/493
I\'m so Happy|創作譜面。|2552|1.3|https://ux.getuploader.com/e2337650/download/408
ワールズエンド・ダンスホール|(パス無し版)創作譜面。...|6965|1.6|https://ux.getuploader.com/e2337650/download/288
Rare Hero 2|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|116|2.1|https://ux.getuploader.com/e2337650/download/69
マルバツ2000|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|439|1.9|https://ux.getuploader.com/e2337650/download/18
誘惑|新AC限定曲。すべて本家譜面。...|3167|1.8|https://ux.getuploader.com/toukyuutoyoko9000/download/615
東京テディベア|すべて本家譜面。|20391|1.8|https://ux.getuploader.com/toukyuutoyoko9000/download/479
EAT\'EM UP!|すべて本家譜面。|2931|1.6|https://ux.getuploader.com/toukyuutoyoko9000/download/463
地平線のエオリア |(修正版)すべて本家譜面。...|1726|2.0|https://ux.getuploader.com/toukyuutoyoko9000/download/455
お菓子刑事の歌|(修正版)すべて本家譜面。...|2519|1.5|https://ux.getuploader.com/toukyuutoyoko9000/download/406
おてもやん|(修正版)すべて本家譜面。...|728|1.4|https://ux.getuploader.com/toukyuutoyoko9000/download/405
Scars of FAUNA|創作譜面。|946|1.9|https://ux.getuploader.com/toukyuutoyoko9000/download/404
キミにタッチ！|(修正版)すべて本家譜面。...|970|1.2|https://ux.getuploader.com/toukyuutoyoko9000/download/349
蛻変 ～transformation～|表裏すべて本家譜面。|1793|1.9|https://ux.getuploader.com/toukyuutoyoko9000/download/329
電車で電車でGO!GO!GO!GC! -GMT remix-|新AC限定曲。すべて本家譜面。...|3526|1.5|https://ux.getuploader.com/toukyuutoyoko9000/download/149
どん子のファーストデート|(リクエスト)すべて本家譜面。...|989|1.7|https://ux.getuploader.com/toukyuutoyoko9000/download/75
StrayedCatz|(譜面の一部を修正)創作譜面。...|81|1.9|https://ux.getuploader.com/e2351000/download/624
Solar Storm|創作譜面。|66|1.7|https://ux.getuploader.com/e2351000/download/607
Evans|(裏譜面追加)創作譜面。...|149|1.6|https://ux.getuploader.com/e2351000/download/588
たのしい太鼓道場|(NS譜面に変更・音源差し替え)すべて本家譜面。...|501|1.6|https://ux.getuploader.com/e2351000/download/559
Engraved Mark|(裏譜面追加)創作譜面。...|109|1.6|https://ux.getuploader.com/e2351000/download/487
＋ E n B a ＋ U 2 o o o|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|88|1.0|https://ux.getuploader.com/e2351000/download/470
亡き王女のためのパヴァーヌ|(修正・TJAPlayer3用付属)すべて本家譜面。...|1528|2.1|https://ux.getuploader.com/e2351000/download/466
ハロー！ハロウィン|(音源差し替え)すべて本家譜面。...|728|1.7|https://ux.getuploader.com/e2351000/download/451
ネオトレント2000|<span aria-hidden="true" class="glyphicon glyphicon-lock"></span>|122|1.2|https://ux.getuploader.com/e2351000/download/436
B.B.K.K.B.K.K.|新AC限定曲。すべて本家譜面。...|7072|1.9|https://ux.getuploader.com/e2351000/download/394
リンカーネイション|(裏譜面追加)創作譜面。...|754|2.4|https://ux.getuploader.com/e2351000/download/384
ZEPHYRANTHES|(裏譜面追加)創作譜面。...|149|1.9|https://ux.getuploader.com/e2351000/download/371
ひよっこファンタジー|(音源差し替え)すべて本家譜面。...|279|1.7|https://ux.getuploader.com/e2351000/download/363
Sakura Sunrise|(裏譜面追加)創作譜面。...|197|1.5|https://ux.getuploader.com/e2351000/download/359
ロンロンへ　ライライライ！|(修正版)創作譜面。|153|1.8|https://ux.getuploader.com/e2351000/download/352
ドラゴンボールヒーローズ 邪悪龍ミッションシリーズテーマソング|(再UP)すべて本家譜面。...|741|1.4|https://ux.getuploader.com/e2351000/download/348
SHOGYO MUJO|(音源差し替え)すべて本家譜面。...|411|2.5|https://ux.getuploader.com/e2351000/download/339
FREEDOM DiVE↓|すべて本家譜面。|11527|2.2|https://ux.getuploader.com/e2351000/download/318
GO GET'EM!|新AC限定曲。すべて本家譜面。...|2797|1.6|https://ux.getuploader.com/e2351000/download/300
ARMAGEΔDON|新AC限定曲。すべて本家譜面。...|5420|2.0|https://ux.getuploader.com/e2351000/download/299
蓄勢 ～GEAR UP～|(星の数を新基準に変更)表裏すべて本家譜面。...|778|2.1|https://ux.getuploader.com/e2351000/download/298
カンタービレ×パッシオーネ|新AC限定曲。すべて本家譜面。...|5753|2.2|https://ux.getuploader.com/e2351000/download/280
セツナトリップ|表裏すべて本家譜面。|8807|1.9|https://ux.getuploader.com/e2351000/download/274
Phoenix|(音源差し替え)すべて本家譜面。...|294|1.9|https://ux.getuploader.com/e2351000/download/265
雑草|(NS収録記念)創作譜面。...|3079|1.8|https://ux.getuploader.com/e2351000/download/264
Behemoth|新AC限定曲。すべて本家譜面。...|4901|1.8|https://ux.getuploader.com/e2351000/download/261
Doom Noiz|(音源差し替え)すべて本家譜面。...|1097|2.3|https://ux.getuploader.com/e2351000/download/248
魔理沙は大変なものを盗んでいきました|新AC限定曲。すべて本家譜面。...|11281|2.1|https://ux.getuploader.com/e2351000/download/243
Jump Up, Super Star! Short Version|(音源差し替え)すべて本家譜面。...|703|1.8|https://ux.getuploader.com/e2351000/download/216
YouTubeテーマソング|すべて本家譜面。|10670|1.9|https://ux.getuploader.com/e2351000/download/132
過食性アイドル症候群|創作譜面。|3915|1.8|https://ux.getuploader.com/e2351000/download/115
We\'re so Happy|創作譜面。|1091|1.8|https://ux.getuploader.com/e2351000/download/104
THE IDOLM@STER|(新譜面追加)すべて本家譜面。...|5447|1.7|https://ux.getuploader.com/e2351000/download/83
恋文2000|(修正版)すべて本家譜面。...|26702|1.8|https://ux.getuploader.com/e2351000/download/64
shiny smile|(新譜面追加)すべて本家譜面。...|2245|1.6|https://ux.getuploader.com/e2351000/download/61
ロストワンの号哭|創作譜面。|10881|2.0|https://ux.getuploader.com/e2351000/download/8
